Entity Text,Start Char,End Char,Label
Ursula von der,5,19,PERSON
Leyen,20,25,GPE
European,82,90,NORP
Strasbourg,105,115,GPE
MEP,129,132,ORG
Europe,152,158,LOC
the European Commission,221,244,ORG
annual,362,368,DATE
hour,402,406,TIME
Wednesday,422,431,DATE
Europe,453,459,LOC
Europeans,681,690,NORP
Valérie Hayer,762,775,PERSON
Renew,800,805,PERSON
The summer,824,834,DATE
Green,859,864,ORG
Bas Eickhout,872,884,PERSON
Europe,887,893,LOC
This summer,1028,1039,DATE
EU,1075,1077,ORG
US,1083,1085,GPE
von der,1097,1104,PERSON
Leyen,1105,1110,GPE
Donald Trump,1123,1135,PERSON
July,1139,1143,DATE
Europe,1215,1221,LOC
Russia,1223,1229,GPE
Ukraine,1255,1262,GPE
EU,1270,1272,ORG
Trump’s,1319,1326,ORG
Russian,1354,1361,NORP
Vladimir Putin,1373,1387,PERSON
Alaska,1392,1398,GPE
Israel,1400,1406,GPE
Gaza,1416,1420,GPE
"more than 64,000",1453,1469,CARDINAL
EU,1517,1519,ORG
Benjamin Netanyahu’s,1579,1599,PERSON
1,1705,1706,CARDINAL
about one-third,1766,1781,CARDINAL
Belgium,1785,1792,GPE
Mario Draghi,1834,1846,PERSON
Italian,1859,1866,NORP
Brussels,1907,1915,GPE
Europe,2013,2019,LOC
EU,2199,2201,ORG
Europe,2258,2264,LOC
summer,2275,2281,DATE
Leyen,2301,2306,GPE
Brussels,2336,2344,GPE
2019,2348,2352,DATE
EU,2411,2413,ORG
This week,2468,2477,DATE
EU,2502,2504,ORG
five,2507,2511,CARDINAL
Germany,2535,2542,GPE
France,2544,2550,GPE
Italy,2552,2557,GPE
Spain,2559,2564,GPE
Poland,2569,2575,GPE
52%,2589,2592,PERCENT
75%,2637,2640,PERCENT
European,2666,2674,NORP
Anna Cavazzini,2712,2726,PERSON
European,2755,2763,NORP
EU,2876,2878,ORG
European,2893,2901,NORP
Atlantic,2954,2962,LOC
Germany,3021,3028,GPE
EU,3061,3063,ORG
Guardian,3124,3132,ORG
Cavazzini,3135,3144,PERSON
EU,3208,3210,ORG
Trump,3257,3262,ORG
Europe,3424,3430,LOC
Trump,3499,3504,ORG
US,3550,3552,GPE
’s Turnberry,3562,3574,PERSON
EU,3592,3594,ORG
US,3631,3633,GPE
15%,3657,3660,PERCENT
50%,3688,3691,PERCENT
Von der Leyen,3702,3715,ORG
Europe,3779,3785,LOC
750bn,3797,3802,MONEY
640bn,3805,3810,MONEY
US,3815,3817,GPE
2028,3869,3873,DATE
Strasbourg,3879,3889,GPE
von der,3891,3898,PERSON
Leyen,3899,3904,GPE
US,4037,4039,GPE
European,4079,4087,NORP
US,4160,4162,GPE
Ukraine,4188,4195,GPE
summer,4228,4234,DATE
Europeans,4260,4269,NORP
one,4284,4287,CARDINAL
EU,4295,4297,ORG
von der,4576,4583,PERSON
Leyen,4584,4589,GPE
this week,4624,4633,DATE
Gaza,4641,4645,GPE
European,4760,4768,NORP
Israel,4779,4785,GPE
"Headlines Europe
Free",4968,4989,ORG
morning,5018,5025,TIME
Europe,5052,5058,LOC
every week day,5089,5103,DATE
the Google Privacy Policy and Terms of Service,5538,5584,ORG
Europe,5622,5628,LOC
Chloé Ridel,5656,5667,PERSON
French,5671,5677,NORP
MEP,5688,5691,PERSON
2027,5743,5747,DATE
French,5748,5754,NORP
Trump,5832,5837,ORG
Ukraine,5857,5864,GPE
Putin,5888,5893,PERSON
Israeli,5921,5928,NORP
Gaza,5943,5947,GPE
recent months,5983,5996,DATE
von der,6015,6022,PERSON
Leyen,6023,6028,GPE
first,6031,6036,ORDINAL
EU,6052,6054,ORG
Covid,6110,6115,NORP
Socialists,6222,6232,NORP
European,6237,6245,NORP
two,6266,6269,CARDINAL
European,6292,6300,NORP
pro-European,6451,6463,NORP
von der Leyen,6598,6611,PERSON
two,6618,6621,CARDINAL
European,6658,6666,NORP
one,6679,6682,CARDINAL
this week,6752,6761,DATE
72,6791,6793,CARDINAL
EU,7003,7005,ORG
Europe,7037,7043,LOC
Alexandria,14,24,GPE
early April,53,64,DATE
Amilcar Lisser-Posadas,70,92,PERSON
US,207,209,GPE
Louisiana,234,243,GPE
hundreds,369,377,CARDINAL
29-year-old,509,520,DATE
two,534,537,CARDINAL
US,562,564,GPE
US,591,593,GPE
Honduras,599,607,GPE
Obama-era,652,661,DATE
Daca (Deferred Action for Childhood Arrivals,679,723,ORG
US,799,801,GPE
nine-year-old,835,848,DATE
Daca,857,861,ORG
one,947,950,CARDINAL
Plane,1245,1250,PERSON
Trump,1269,1274,ORG
March,1350,1355,DATE
Lisser-Posadas,1357,1371,ORG
Shelby county,1401,1414,GPE
Tennessee,1416,1425,GPE
US Immigration,1486,1500,ORG
four weeks,1569,1579,DATE
Honduras,1741,1749,GPE
The Alexandria Staging Facility,1777,1808,ORG
Louisiana,1962,1971,GPE
Trump,2000,2005,PERSON
2014,2081,2085,DATE
Geo Group,2127,2136,ORG
Guardian,2238,2246,ORG
four-month,2372,2382,DATE
Guardian US,2383,2394,ORG
Alexandria,2418,2428,PERSON
earlier this year,2768,2785,DATE
Department of Homeland Security,2881,2912,ORG
DHS,2914,2917,ORG
911,2931,2934,CARDINAL
10,2961,2963,CARDINAL
Alexandria,3017,3027,PERSON
Global Crossing,3098,3113,ORG
England,3136,3143,GPE
Alexandria,3155,3165,GPE
Louisiana,3167,3176,GPE
Kathleen Flynn,3270,3284,PERSON
Global Crossings,3394,3410,ORG
Alexandria,3460,3470,PERSON
Ice,3552,3555,GPE
hundreds of thousands,3604,3625,CARDINAL
roughly 100 days,3664,3680,DATE
Donald Trump’s,3686,3700,PERSON
second,3701,3707,ORDINAL
"more than 20,000",3733,3749,CARDINAL
Alexandria,3787,3797,PERSON
almost 200,3859,3869,CARDINAL
Louisiana,3879,3888,GPE
Nora Ahmed,3933,3943,PERSON
ACLU,3967,3971,ORG
Louisiana,3975,3984,GPE
Alexandria,4008,4018,PERSON
Ahmed,4207,4212,PERSON
Alexandria,4292,4302,GPE
Louisiana,4304,4313,GPE
80,4346,4348,CARDINAL
19 January 2025,4376,4391,DATE
May 2025,4397,4405,DATE
Guardian,4427,4435,ORG
DHS,4452,4455,ORG
Tricia McLaughlin,4477,4494,PERSON
US,4683,4685,GPE
US,4711,4713,GPE
Geo Group,4901,4910,ORG
40 years,5043,5051,DATE
DHS,5194,5197,ORG
Alexandria,5365,5375,PERSON
72 hours,5469,5477,TIME
400,5488,5491,CARDINAL
four,5550,5554,CARDINAL
about 80,5582,5590,CARDINAL
three-day,5689,5698,DATE
Guardian,5710,5718,ORG
"more than 28,000",5785,5801,CARDINAL
Alexandria,5830,5840,GPE
January 2025,5846,5858,DATE
late July,5865,5874,DATE
20%,5876,5879,PERCENT
longer than 72 hours,5890,5910,TIME
October 2023,5918,5930,DATE
742,5952,5955,CARDINAL
10 days,5988,5995,DATE
longer than 72 hours,6090,6110,TIME
24-hour,6362,6369,TIME
Ahmed of,6420,6428,PERSON
ACLU,6433,6437,ORG
Louisiana,6441,6450,GPE
Lisser-Posadas,6525,6539,ORG
Alexandria,6606,6616,GPE
about 12 days,6621,6634,DATE
Alexandria,6881,6891,GPE
the last two days,7001,7018,DATE
Lisser-Posadas,7183,7197,ORG
Geo Group,7216,7225,ORG
so many days,7470,7482,DATE
one,7504,7507,CARDINAL
GEO Group Ice,7658,7671,ORG
England,7704,7711,GPE
Alexandria,7723,7733,GPE
Louisiana,7735,7744,GPE
US,7808,7810,GPE
Lisser-Posadas,7890,7904,ORG
Louisiana,7931,7940,GPE
Jena,7972,7976,GPE
about four days,7981,7996,DATE
Alexandria,8026,8036,PERSON
Honduras,8061,8069,GPE
Louisiana,8111,8120,GPE
6am,8124,8127,TIME
23 April,8131,8139,DATE
eight,8446,8451,CARDINAL
16,8478,8480,CARDINAL
Lisser-Posadas,8508,8522,ORG
Guardian,8536,8544,ORG
US,8662,8664,GPE
May,8668,8671,DATE
Alexandria,8741,8751,PERSON
Alexandria,9090,9100,PERSON
2022,9211,9215,CARDINAL
February this year,9440,9458,DATE
first,9465,9470,ORDINAL
Trump,9491,9496,ORG
second,9499,9505,ORDINAL
Guardian,9536,9544,ORG
four days,9643,9652,DATE
DHS,9664,9667,ORG
no later than 12 hours,9884,9906,DATE
21 February to,9969,9983,DATE
22,9984,9986,CARDINAL
Frances Kelly,10243,10256,PERSON
Louisiana,10261,10270,GPE
Alexandria,10369,10379,GPE
GEO Group Ice,10458,10471,ORG
Kathleen Flynn,10521,10535,PERSON
Guardian,10540,10548,ORG
John Roth,10550,10559,PERSON
DHS,10565,10568,ORG
between 2013 and 2017,10587,10608,DATE
Roth,10832,10836,PERSON
DHS,10926,10929,ORG
Roth,10963,10967,PERSON
Alexandria,10982,10992,PERSON
February,11004,11012,DATE
DHS,11070,11073,ORG
13,11141,11143,CARDINAL
Roth,11232,11236,PERSON
911,11415,11418,CARDINAL
2023,11539,11543,DATE
Biden,11555,11560,PERSON
This year,11577,11586,DATE
between January and the end of May,11588,11622,DATE
more than two,11648,11661,CARDINAL
2025,11724,11728,DATE
the year,11741,11749,DATE
19 March,11792,11800,DATE
911,11836,11839,CARDINAL
ASAP,11928,11932,ORG
Five days earlier,12060,12077,DATE
Next month,12153,12163,DATE
May,12264,12267,DATE
911,12362,12365,CARDINAL
00:00:00,12371,12379,PERSON
00:00:00,12380,12388,PERSON
911,12441,12444,CARDINAL
McLaughlan,12469,12479,ORG
DHS,12485,12488,ORG
The Alexandria Staging Facility,12726,12757,WORK_OF_ART
NDS,12821,12824,ORG
Alexandria,12912,12922,PERSON
a decade ago,12954,12966,DATE
about $20,12976,12985,MONEY
Barack Obama’s,13042,13056,FAC
second,13057,13063,ORDINAL
Louisiana,13070,13079,GPE
US,13139,13141,GPE
one,13157,13160,CARDINAL
nine,13164,13168,CARDINAL
Texas,13336,13341,GPE
Louisiana,13343,13352,GPE
Mississippi,13357,13368,GPE
three,13370,13375,CARDINAL
Amilcar Lisser-Posadas,13395,13417,PERSON
Baldomero Orozco-Juarez,13419,13442,PERSON
Khan Suri,13450,13459,PERSON
Alexandria,13487,13497,PERSON
Amlicar Lisser,13536,13550,PERSON
Baldomero Orozco-Juarez,13568,13591,PERSON
Julia,13593,13598,GPE
Alexandria,13650,13660,PERSON
1,13680,13681,MONEY
Trump,13688,13693,ORG
2024,13743,13747,DATE
an additional $400,13851,13869,MONEY
annually,13871,13879,DATE
May,13900,13903,DATE
Trump,13909,13914,ORG
Tom Homan,13941,13950,PERSON
Geo Group,13978,13987,ORG
White House,14025,14036,ORG
Homan,14059,14064,PERSON
Todd Lyons,14140,14150,PERSON
Trump,14195,14200,ORG
Amazon,14230,14236,ORG
Alexandria,14314,14324,PERSON
Florida,14388,14395,GPE
Texas,14400,14405,GPE
Alexandria,14501,14511,PERSON
21 July 2025,14563,14575,DATE
2023,14632,14636,DATE
nearly 500,14643,14653,CARDINAL
almost 100,14674,14684,CARDINAL
Geo Group,14739,14748,ORG
Guardian,14769,14777,ORG
each day,15069,15077,DATE
July,15082,15086,DATE
Guardian,15092,15100,ORG
third,15117,15122,ORDINAL
18,15421,15423,CARDINAL
13th,15472,15476,ORDINAL
dozens,15506,15512,CARDINAL
six,15650,15653,CARDINAL
just a few hundred feet,15785,15808,CARDINAL
England,15841,15848,GPE
Alexandria,15860,15870,GPE
Louisiana,15872,15881,GPE
England,15909,15916,GPE
Alexandria,15928,15938,GPE
Louisiana,15940,15949,GPE
Kathleen Flynn,15963,15977,PERSON
39,15999,16001,CARDINAL
that day,16014,16022,DATE
23 July,16024,16031,DATE
over half,16033,16042,CARDINAL
Alexandria,16072,16082,GPE
Guardian,16127,16135,ORG
Tom Cartwright,16164,16178,PERSON
Baldomero Orozco-Juarez,16241,16264,PERSON
one,16310,16313,CARDINAL
the early hours,16390,16405,TIME
14 May 2025,16409,16420,DATE
less than 24 hours,16451,16469,TIME
Carthage,16517,16525,GPE
Mississippi,16527,16538,GPE
250 miles,16540,16549,QUANTITY
Alexandria,16553,16563,PERSON
Alexandria,16648,16658,GPE
Guardian,16759,16767,ORG
US,16947,16949,GPE
Guatemala,17014,17023,GPE
Jeremy Jong,17146,17157,PERSON
Jong,17356,17360,PERSON
England,17501,17508,GPE
Alexandria,17520,17530,GPE
Louisiana,17532,17541,GPE
Kathleen Flynn,17555,17569,PERSON
Khan Suri,17590,17599,PERSON
Alexandria,17622,17632,GPE
about 50 meters,17734,17749,QUANTITY
Suri,18057,18061,PERSON
18 March 2025,18099,18112,DATE
Richmond,18145,18153,GPE
Virginia,18155,18163,GPE
mid-afternoon,18168,18181,TIME
Suri,18184,18188,PERSON
Indian,18193,18199,NORP
Georgetown University,18223,18244,ORG
US,18252,18254,GPE
one,18294,18297,CARDINAL
Trump,18347,18352,PERSON
Israel,18391,18397,GPE
Gaza,18407,18411,GPE
Virginia,18437,18445,GPE
over a thousand miles,18472,18493,QUANTITY
Louisiana,18497,18506,GPE
Alexandria,18578,18588,GPE
three days,18593,18603,DATE
Alexandria,18793,18803,GPE
longer than 20 seconds,19055,19077,TIME
Virginia,19112,19120,GPE
Alexandria,19788,19798,GPE
Geo Group,20144,20153,ORG
Alexandria,20240,20250,PERSON
Hassan Ahmad,20294,20306,PERSON
two,20423,20426,CARDINAL
Urdu,20436,20440,GPE
Ahmad,20444,20449,PERSON
Suri,20549,20553,PERSON
Alexandria,20575,20585,PERSON
van,20589,20592,PERSON
Alvarado,20618,20626,GPE
Texas,20628,20633,GPE
the next day,20635,20647,DATE
14 May,20664,20670,DATE
Virginia,20740,20748,GPE
the same day,20757,20769,DATE
US,20810,20812,GPE
Suri,20854,20858,PERSON
Alexandria,20932,20942,GPE
American,21111,21119,NORP
American,21140,21148,NORP
American,21188,21196,NORP
